svelte_with_browser_chromium;svelte_with_browser_firefox;svelte_with_browser_webkit;svelte-kit_with_browser_chromium;svelte-kit_with_browser_firefox;svelte-kit_with_browser_webkit;react_with_browser_chromium;react_with_browser_firefox;react_with_browser_webkit;react-vite_with_browser_chromium;react-vite_with_browser_firefox;react-vite_with_browser_webkit;react-next_with_browser_chromium;react-next_with_browser_firefox;react-next_with_browser_webkit;vue_with_browser_chromium;vue_with_browser_firefox;vue_with_browser_webkit;vue-nuxt_with_browser_chromium;vue-nuxt_with_browser_firefox;vue-nuxt_with_browser_webkit;angular_with_browser_chromium;angular_with_browser_firefox;angular_with_browser_webkit
13787;13867;14224;14323;13826;13982;15306;14996;15316;15242;15170;15101;15433;15515;15315;14265;14140;14165;14120;14122;14068;15178;15262;15208
13891;13859;14014;14117;14204;13789;15280;15100;15115;15252;15411;15208;15214;15640;15524;14381;14134;13904;14653;14710;14113;15211;15102;15110
14050;14240;14189;14101;13811;13945;15248;15232;15114;15325;15091;15293;15306;15323;15613;14299;14103;14313;14123;13971;14011;15391;15383;15302
14267;13827;13820;14191;13918;14230;15360;15296;15357;15492;15289;15218;15320;15416;15401;14288;14177;14030;14284;14236;14425;14992;15107;15232
14102;13890;13622;14115;13912;13744;15149;15318;15226;15234;15032;15207;15376;15306;15447;14084;13979;14081;14532;14681;14598;15231;15275;15052
13905;13739;13678;14027;13906;13751;15563;15114;15290;15114;15136;15182;15630;15302;15273;14412;14271;14236;13920;14235;13986;15118;15032;15406
14583;14438;14349;14826;15002;14336;15117;15280;15442;15157;15156;15080;15235;15377;15322;13917;14247;14853;14227;14108;14219;15193;15278;15278
14525;13786;13954;13946;14259;13973;15277;15279;15178;15103;15149;15434;15336;15323;15299;14296;14168;14244;14118;14207;14260;15207;15114;15241
14035;13881;13827;13963;13902;14139;15084;15261;15227;15146;15187;15247;15288;15321;15285;14307;14598;14552;14507;14402;14487;15215;15184;15372
14107;13921;13699;14110;13991;14170;15163;15283;15271;15249;15133;15150;15615;15177;15330;14052;14350;14360;14457;14355;14136;15135;15207;15249
14053;13851;14488;14618;14392;13972;15313;15030;15186;15245;15111;15036;15442;15253;15348;14124;14410;14263;14107;14275;14161;15187;15192;15122
13765;13888;13904;14099;13937;13849;15053;15200;15003;15187;15057;15105;15435;15340;15248;14030;14314;14635;13866;14339;14566;15250;15213;15240
13560;13812;13776;13757;13719;13814;15473;15109;15180;15399;15151;15188;15186;15319;15221;14084;14083;14410;14365;13871;13985;15397;15119;14914
13853;13713;13692;14034;13958;13745;15107;15135;15180;15104;15145;15345;15175;15293;15197;14106;14403;14028;14223;14108;14159;15140;15209;15031
13934;13762;13871;13897;13867;13885;15041;15302;15258;15218;15101;15183;15351;15451;15376;14196;14005;14261;14131;14227;14077;15185;15168;15134
13959;13885;13694;14154;13621;13961;15253;15158;15313;15129;15303;15170;15283;15280;15294;14041;14252;13960;14357;14514;14195;15113;15148;15125
13684;13563;13729;13939;13825;13943;15245;15255;15202;15590;15166;15456;15335;15376;15085;14126;14013;14305;14395;14528;13966;15130;15074;15112
14335;14285;13986;14075;13747;14055;15119;15171;15335;15185;15420;15431;15511;15420;15359;14268;14164;13970;14157;14451;14163;15296;15325;15196
13712;13795;13728;14359;13762;13858;15115;15031;15342;15246;15188;15311;15340;15452;15143;14248;14313;14229;14394;14275;14372;15244;15364;15177
13833;13784;13544;13789;13878;13864;15022;15240;15210;15053;15239;15081;15554;15303;15251;13912;14099;14089;14724;14221;14514;15265;15063;15171
14016;13641;13656;13757;13821;14024;15289;15190;15111;15188;15219;15271;15440;15396;15118;13993;14074;13993;14216;14363;14261;15275;15408;15261
13980;13798;13875;13934;13835;13845;15236;15277;15012;15196;15260;15274;15377;15397;15506;14062;14187;14276;14105;14019;14388;15067;15204;15322
14108;13817;13909;14264;13772;13671;15156;15104;15174;15143;15220;15187;15520;15251;15149;14173;14034;14241;14041;13987;14173;15333;15103;15140
13726;13955;13748;13638;13849;13883;15240;14997;15245;15045;15336;15091;15310;15378;15348;13915;14061;14163;13999;13817;14564;15147;15296;15219
13841;14021;13766;13758;13701;13841;15321;15566;15369;15079;15139;15287;15327;15287;15333;14306;14081;14383;14390;14034;14406;15248;15150;15196
13915;13744;14137;14151;13794;13696;15156;15233;15241;15149;15167;15075;15394;15331;15187;14118;14553;14276;14177;13897;14220;15250;15225;15267
14219;13967;13538;13910;14055;13892;15283;15329;15063;15279;15177;15048;15393;15243;15244;14442;14672;14436;14081;14217;14378;15191;15086;15059
14318;13831;13636;13968;14007;13887;14957;15430;15149;15375;15256;15408;15180;15206;15137;14378;14617;14157;13934;14050;14254;15095;15362;15421
13837;13858;13823;13883;13933;13840;15360;15075;15194;15183;15323;15181;15488;15183;15370;14363;14097;14135;14194;14155;14183;15001;15342;15148
14396;14005;13801;13802;14055;14043;15131;15089;15293;15393;15208;15406;15258;15243;15259;14147;14067;14190;14054;13997;14318;15199;15415;15337
14064;13835;13735;13906;13780;13960;15234;15126;15301;15177;15218;15097;15257;15344;15251;14279;13889;14319;14250;14703;14211;15231;15323;15206
14121;14019;13822;13829;13898;14006;15190;15323;15348;15264;15136;15266;15259;15260;15286;14654;14402;14152;14408;13976;14111;15102;15146;15198
14272;13981;13905;14045;13987;13773;15273;15081;15119;15441;15339;15074;15354;15378;15284;14296;14524;14432;13977;14146;14332;15282;15392;15216
14018;14259;13970;13940;14056;13882;15306;15242;15302;15118;15167;15098;15276;15362;15252;14306;13961;14099;14388;14183;14397;15231;15416;15164
13743;13865;13813;13756;14000;13787;15134;15107;15202;15318;15175;15054;15210;15442;15482;14028;14108;14346;14074;14158;14225;15337;15315;15185
13796;13881;14373;14045;13785;13842;15305;15221;15562;15685;15796;15650;15404;15138;15254;14239;14141;14292;14118;14293;14354;15393;15173;15054
14215;14293;13790;13724;13876;13918;15151;15281;15224;15054;15139;15358;15331;15395;15256;14185;14311;14640;14367;14138;14139;15095;15192;15240
13735;13848;13969;14132;13827;13695;15179;15435;15071;15163;15259;15211;15361;15454;15298;14317;14110;14418;14681;14484;14182;15090;15254;15288
13860;13872;14275;14046;13757;13785;15248;15396;15191;15178;15176;15343;15274;15283;15239;14259;14025;14329;14432;14319;14759;14989;15155;15158
14186;13661;13977;14031;14234;13921;15432;15230;15160;15133;15304;15223;15481;15274;15187;13953;14086;14394;14060;14093;14091;15348;15159;15045
13792;13801;13668;13846;13973;13898;15227;15026;15186;14857;15521;15074;15262;15231;15460;14069;14205;14251;14364;15375;14884;15208;15329;15019
13712;14168;13791;13700;14325;14069;15321;15327;15178;15288;15232;15223;15413;15196;15343;13970;14141;14067;14440;14226;14911;15392;15171;15112
14246;13781;13826;13981;13910;13973;15099;15105;15066;15253;15226;15148;15298;15366;15074;14525;14035;14058;14154;14032;13913;15446;15242;15241
13785;13890;13689;13769;13980;14101;15218;15324;14991;15238;15207;15238;15267;15190;15302;14238;13933;14459;14123;14209;14166;15129;15151;15414
13923;13729;13788;14148;14049;14023;15128;15200;15318;15305;15203;15244;15139;15354;15481;14354;14193;14228;14001;13972;14638;15273;15243;15318
13842;14169;13759;13819;14247;13847;15207;15345;15272;15189;15155;15141;15155;15128;15149;14129;14497;14357;13838;14217;14179;15318;15205;15206
13780;13767;14538;14297;14160;14007;15223;15165;15159;15162;15302;15219;15293;15403;15313;14156;14270;14179;14178;14062;13832;15293;15197;15349
14111;13941;13904;14105;13831;13867;15140;15235;15164;15164;15396;15087;15473;15189;15358;14231;14134;14129;14020;14153;14371;15230;15259;15134
13960;13829;13797;13902;14021;14136;15099;15161;15090;15141;15217;15124;15363;15383;15429;14039;14218;14112;14542;13993;14099;15262;15038;15301
14111;13884;13937;14130;13879;14232;15027;15215;15090;15115;15246;15091;15387;15251;15620;14352;13911;13962;13997;14170;13906;15603;15271;15219
14077;13722;13997;13841;13751;14105;15567;15261;15149;15517;15240;15465;15549;15442;15313;14168;14243;14363;14365;14351;14236;15386;15236;15350
